node_id,lat,lon
3099092032, 46.5407247, 6.7041434
1678435527, 46.55721, 6.6828243
1408633572, 46.5289068, 6.6392772
1474513593, 46.5659757, 6.5585642
310150594, 46.5508355, 6.6250618
316484443, 46.5878309, 6.5686449
599010272, 46.5361545, 6.6191367
567940527, 46.5240262, 6.6021284
561509464, 46.5214787, 6.6237156
3090820951, 46.522883, 6.6484005
599010275, 46.5362706, 6.6189641
4604984502, 46.5146655, 6.6934439
418016602, 46.5448829, 6.6779472
567803528, 46.5083615, 6.6227987
575172244, 46.5311866, 6.6179892
337907802, 46.5151149, 6.6392952
3672033557, 46.5607421, 6.6844475
3301053196, 46.5486722, 6.6248993
282064390, 46.5117057, 6.6693699
598135273, 46.5271279, 6.6414448
1034333020, 46.50623, 6.6740419
310134359, 46.4963918, 6.7471087
268958713, 46.5792111, 6.635056
567174924, 46.5217921, 6.6081577
2295333663, 46.5378865, 6.6079729
3276660212, 46.5915125, 6.5541041
574618938, 46.5195802, 6.6163219
1356237437, 46.5186038, 6.7002443
794877785, 46.5484618, 6.6019048
386576764, 46.5591015, 6.6358972
367994998, 46.5273455, 6.6033841
581063031, 46.5068885, 6.640837
3301396474, 46.5408065, 6.6514065
63068808, 46.5311589, 6.6532375
334242852, 46.5203495, 6.6310213
597654812, 46.5158539, 6.6181987
258755884, 46.5402287, 6.6072574
487097601, 46.5314262, 6.5744701
649749341, 46.5271718, 6.5826832
564690280, 46.5189928, 6.6400356
3301053260, 46.5508379, 6.624378
1075158030, 46.4878151, 6.7275657
268958591, 46.5236903, 6.6544845
1435428888, 46.54368, 6.5707649
5280471182, 46.512007, 6.6341431
155023319, 46.5196726, 6.6454363
289481575, 46.5315258, 6.6758609
268958695, 46.5676352, 6.6346117
505231, 46.5512747, 6.5657313
1162076486, 46.5465894, 6.6588464
567927278, 46.5242843, 6.6345014
5331033802, 46.524088, 6.6212539
268638442, 46.5109176, 6.6918849
2940544165, 46.5173029, 6.6302749
598863939, 46.526778, 6.6235076
4357108706, 46.5449406, 6.5685388
283829325, 46.5394941, 6.5820148
1444350191, 46.5341609, 6.5824446
20934834, 46.5155256, 6.6169842
1093731630, 46.5078242, 6.665873
1056068600, 46.5076944, 6.6553407
1259622531, 46.5462857, 6.6749802
1278435054, 46.5089437, 6.6664713
505251, 46.5635979, 6.5586841
309479975, 46.5406378, 6.5666447
540449489, 46.5274325, 6.6035947
649749344, 46.527242, 6.5826339
35296887, 46.5223446, 6.6341999
3062903689, 46.5298003, 6.5989417
2313165463, 46.5501808, 6.6316982
582910444, 46.5309107, 6.6073521
329723644, 46.4881218, 6.7718401
1599340871, 46.527406, 6.5632539
1252927173, 46.5581329, 6.662918
5692668432, 46.536607, 6.5779277
5250921879, 46.4875087, 6.770601
570140106, 46.5168793, 6.6522671
571598454, 46.5352876, 6.6634329
421804919, 46.5273741, 6.6332309
1193508729, 46.6109593, 6.6574526
3276612514, 46.5482755, 6.5687802
649303065, 46.5228193, 6.5640302
504484781, 46.5388924, 6.6784297
1470131324, 46.5320642, 6.5879206
335592424, 46.5469427, 6.5826617
260928203, 46.5280601, 6.6161927
1153380076, 46.5524364, 6.6940769
597814843, 46.5168401, 6.6365061
599222331, 46.5312093, 6.6208779
310281129, 46.54462, 6.6659799
4600422730, 46.5297997, 6.6485317
3986920383, 46.5455501, 6.5871093
286706993, 46.5363499, 6.6346257
450201558, 46.5168993, 6.6044986
3356116707, 46.5573255, 6.6824184
560973353, 46.5223956, 6.6546681
1475388357, 46.5302516, 6.5729559
2226796, 46.5747637, 6.7221366
1471819653, 46.5361896, 6.5763199
1259622634, 46.5405043, 6.6699448
415770475, 46.6101233, 6.6569114
597674075, 46.5155315, 6.6206493
340065874, 46.5428929, 6.5793155
1681943428, 46.52053, 6.6651782
610330987, 46.5139861, 6.6312142
320010754, 46.5170109, 6.6906042
564488672, 46.540927, 6.6536332
2316488209, 46.5472309, 6.6335433
1043749048, 46.5445797, 6.6664742
564160915, 46.5205594, 6.6262834
418851155, 46.5110655, 6.6370427
414238561, 46.5283413, 6.6341513
2630993503, 46.5277681, 6.5912862
